STATION_CODE,DATETIME,global_radiation,precipitation,relative_humidity,snow_level,temperature,wind_direction,wind_gust,wind_speed,UNIQUE_IDENTIFIER
T0010,2024-01-23T11:15:00+01,106.0,0.0,67.0,,1.7,220.0,1.9,0.9,185_daily_weather
T0010,2024-01-23T11:30:00+01,57.0,0.0,64.0,,2.6,208.0,1.8,0.9,186_daily_weather
T0010,2024-01-23T11:45:00+01,117.0,0.0,62.0,,2.9,237.0,2.1,1.0,187_daily_weather
T0010,2024-01-23T12:00:00+01,133.0,0.0,59.0,,3.4,201.0,1.7,0.9,188_daily_weather
T0010,2024-01-23T12:15:00+01,42.0,0.0,56.0,,4.1,199.0,1.9,1.0,189_daily_weather
T0010,2024-01-23T12:30:00+01,123.0,0.0,54.0,,4.6,194.0,2.5,0.8,190_daily_weather
T0010,2024-01-23T12:45:00+01,225.0,0.0,52.0,,5.6,191.0,4.4,1.3,191_daily_weather
T0010,2024-01-23T13:00:00+01,351.0,0.0,49.0,,6.3,214.0,3.2,2.1,192_daily_weather
T0010,2024-01-23T13:15:00+01,355.0,0.0,47.0,,6.6,235.0,2.9,1.4,193_daily_weather
T0010,2024-01-23T13:30:00+01,348.0,0.0,43.0,,7.6,212.0,1.9,1.0,194_daily_weather
T0010,2024-01-23T13:45:00+01,338.0,0.0,44.0,,7.9,100.0,2.3,1.1,195_daily_weather
T0010,2024-01-23T14:00:00+01,325.0,0.0,43.0,,7.8,93.0,1.7,0.8,196_daily_weather
T0010,2024-01-23T14:15:00+01,297.0,0.0,41.0,,8.6,209.0,1.7,1.3,197_daily_weather
T0010,2024-01-23T14:30:00+01,166.0,0.0,40.0,,8.7,201.0,2.0,1.1,198_daily_weather
T0010,2024-01-23T14:45:00+01,216.0,0.0,39.0,,9.1,225.0,1.8,0.9,199_daily_weather
T0010,2024-01-23T15:00:00+01,228.0,0.0,39.0,,9.8,207.0,1.7,1.0,200_daily_weather
T0010,2024-01-23T15:15:00+01,197.0,0.0,38.0,,10.3,202.0,1.6,0.6,201_daily_weather
T0010,2024-01-23T15:30:00+01,167.0,0.0,38.0,,10.5,177.0,0.9,0.3,202_daily_weather
T0010,2024-01-23T15:45:00+01,136.0,0.0,40.0,,9.9,87.0,1.7,0.6,203_daily_weather
T0010,2024-01-23T16:00:00+01,95.0,0.0,40.0,,10.2,92.0,1.3,0.2,204_daily_weather
T0010,2024-01-23T16:15:00+01,55.0,0.0,41.0,,8.8,33.0,1.7,0.9,205_daily_weather
T0010,2024-01-23T16:30:00+01,19.0,0.0,47.0,,6.7,44.0,0.8,0.3,206_daily_weather
T0010,2024-01-23T16:45:00+01,8.0,0.0,52.0,,5.1,27.0,2.3,1.0,207_daily_weather
T0010,2024-01-23T17:00:00+01,0.0,0.0,56.0,,4.5,12.0,0.9,0.5,208_daily_weather
T0010,2024-01-23T17:15:00+01,0.0,0.0,60.0,,3.9,38.0,1.0,0.6,209_daily_weather
T0010,2024-01-23T17:30:00+01,0.0,0.0,62.0,,3.5,21.0,1.0,0.5,210_daily_weather
