SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.IT1737A_1_UV-FL_2006-01-01_00:00:00,20231026000000,20231026000000,SO2,2.374512,Âµg/m3,background,urban,70.0,IT1737A,BRESCIA VILLAGGIO SERENO,1137623.3023,5703009.5372,Traversa IV - Brescia (BS),True
SPO.IT1549A_1_UV-FL_2016-01-01_00:00:00,20231026000000,20231026000000,SO2,5.64,Âµg/m3,background,suburban,120.0,IT1549A,CAMPORA - CAMPOMORONE,987830.237,5546049.0728,VIA ALLA CAFFARELLA - CAMPOMORONE (GE),True
SPO.IT1548A_1_UV-FL_2002-12-31_00:00:00,20231026000000,20231026000000,SO2,2.95,Âµg/m3,background,rural-nearcity,275.0,IT1548A,BOLANO,1101805.8108,5493819.6381,Strada provinciale BOLANO - BOLANO (SP),True
SPO.IT1547A_1_UV-FL_2002-06-26_00:00:00,20231026000000,20231026000000,SO2,4.6,Âµg/m3,industrial,suburban,176.0,IT1547A,SAN VENERIO - LA SPEZIA,1098245.8135,5485372.6996,VIA S.ROCCO - LOCALITA' S.VENERIO - LA SPEZIA (SP),True
SPO.IT1546A_1_UV-FL_2002-07-02_00:00:00,20231026000000,20231026000000,SO2,3.94,Âµg/m3,industrial,suburban,21.0,IT1546A,LE GRAZIE - PORTOVENERE,1095266.9039,5475453.9258,VIA DEGLI SCAVI ROMANI (VARIGNANO VECCHIO) - PORTOVENERE (SP),True
SPO.IT1544A_1_UV-FL_2002-09-26_00:00:00,20231026000000,20231026000000,SO2,1.89,Âµg/m3,industrial,urban,3.0,IT1544A,FOSSAMASTRA - LA SPEZIA,1097354.1444,5481962.9276,"VIALE S.BARTOLOMEO, CO SCUOLA SCARPATO - LA SPEZIA (SP)",True
SPO.IT1536A_1_UV-FL_2002-08-09_00:00:00,20231026000000,20231026000000,SO2,2.47,Âµg/m3,background,urban,6.0,IT1536A,MAGGIOLINA - LA SPEZIA,1095822.3882,5483415.6858,"INTERNO PARCO MAGGIOLINA, VIALE ITALIA - LA SPEZIA (SP)",True
SPO.IT1903A_1_UV-FL_2009-11-16_00:00:00,20231026000000,20231026000000,SO2,3.761905,Âµg/m3,traffic,urban,119.0,IT1903A,Asti - Baussano,912541.5258,5604880.7914,c.so Don G. Minzoni c/o cortile Scuola Baussano,True
SPO.IT1876A_1_UV-FL_2006-06-30_00:00:00,20231026000000,20231026000000,SO2,4.849441,Âµg/m3,background,suburban,273.0,IT1876A,CALUSCO,1053824.5499,5729747.5197,Via caduti sul lavoro - Calusco d'Adda (BG),True
SPO.IT1874A_1_UV-FL_2007-08-08_00:00:00,20231026000000,20231026000000,SO2,3.456536,Âµg/m3,industrial,urban,6.0,IT1874A,PARONA,974570.9724,5665885.6015,Via della Miseria 3 - Parona (PV),True
